name,property_type,star_rating,location,location_sub,latitude,longitude,area,rating,review_count,hotel_facilities,nearby_attractions,room_name,room_properties,room_facilities,package_features,package_cancellation,package_value_added,price_numeric,kecamatan,no_review,log_price,log_review,room_size_m2,has_pool,has_wifi,has_ac,has_gym,has_spa,has_restaurant,has_parking,has_bathtub,has_kitchen,has_balcony,has_ocean_view,has_breakfast,is_free_cancellation,room_tier,value_added_count,is_luxury_brand,has_pool_view,has_garden_view,has_ocean_view2,has_private_pool,has_pool_access,has_nature_view,has_city_view,property_type_enc,kecamatan_cleaned
Rosalyne Sleepbox Denpasar Bali,Capsule Hotel,2,"Jl. Teuku Umar Barat No.6, Pemecutan Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80119, Indonesia",West Denpasar,-8.6806708648615,115.195893519473,Bali,4.7,225,Pets Allowed | Dining Room | Weekly/Monthly | Non Smoking | BidetShowerTableware | Free WiFi | See all | WiFi | 24-hour Front Desk | Pet-friendly | Luggage Storage | Free Parking | Smoking Room | Air Conditioning | Lobby,Nearby Destinations | NearestCulinary spotsShopping areasAttractionsLandmarksHospitals | Nearest | Culinary spots | Shopping areas | Attractions | Landmarks | Hospitals | Bali Eko TripOther landmarks (186m) | Gudeg KeprabonRestaurants (355m),Double in Premier Suite,"6m² | 1 room option | Starts from | IDR 158,000 | 1/6 | Double | Non-smoking Room | No breakfast | 2 Adults | -37%",6m² | Shared Bathroom | Shower | Free Toiletries | Hair Dryer,No breakfast,Refund & reschedule not allowed,None,158000,West Denpasar,0,11.970356641102999,5.420534999272286,6.0,0,1,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,West Denpasar
Avisara Nusa Dua,Guest House,4,"Taman mumbul, Jln, Pulosari Dukuh II No 4, Nusa Dua kuta Selatan 80363",Nusa Dua,-8.794965000000001,115.203491,Bali,5.0,1,Massage | ShowerPatio or terrace | tiket Green | Free WiFi | See all | Swimming Pool | WiFi | Airport Transfer | 24-hour Front Desk | Restaurant | Luggage Storage | Free Parking | Air Conditioning | Public WiFi | Parking (Free),Nearby Destinations | NearestCulinary spotsShopping areasAttractionsLandmarksHospitals | Nearest | Culinary spots | Shopping areas | Attractions | Landmarks | Hospitals | Go Adventure BaliOther landmarks (705m) | Crabby CrabRestaurants (1.1km),Deluxe Room,"28m² | 2 room options | Starts from | IDR 320,727 | 1/4 | Double, Single | Non-smoking Room | No breakfast | 2 Adults | -45% | Breakfast (2 pax)",28m² | Private Bathroom | Shower | Free Toiletries | TV | Plunge Pool,No breakfast,Refund & reschedule not allowed,None,320727,Nusa Dua,0,12.678348690881574,0.6931471805599453,28.0,1,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,Nusa Dua
Avisara Nusa Dua,Guest House,4,"Taman mumbul, Jln, Pulosari Dukuh II No 4, Nusa Dua kuta Selatan 80363",Nusa Dua,-8.794965000000001,115.203491,Bali,5.0,1,Massage | ShowerPatio or terrace | tiket Green | Free WiFi | See all | Swimming Pool | WiFi | Airport Transfer | 24-hour Front Desk | Restaurant | Luggage Storage | Free Parking | Air Conditioning | Public WiFi | Parking (Free),Nearby Destinations | NearestCulinary spotsShopping areasAttractionsLandmarksHospitals | Nearest | Culinary spots | Shopping areas | Attractions | Landmarks | Hospitals | Go Adventure BaliOther landmarks (705m) | Crabby CrabRestaurants (1.1km),Deluxe Room,"28m² | 2 room options | Starts from | IDR 320,727 | 1/4 | Double, Single | Non-smoking Room | No breakfast | 2 Adults | -45% | Breakfast (2 pax)",28m² | Private Bathroom | Shower | Free Toiletries | TV | Plunge Pool,Breakfast (2 pax),Refund & reschedule not allowed,None,348218,Nusa Dua,0,12.760586871168721,0.6931471805599453,28.0,1,1,1,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,Nusa Dua
Cove The Cave,Guest House,3,"Kec, Jl. Antasura Gg. Batu Sari No.3A, Peguyangan Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali",North Denpasar,-8.62119,115.224623,Bali,4.7,39,WiFiAC | Air ConditioningToilet | Cleaning Products | Refrigerator | Non Smoking | Shower | TelevisionFree WiFi | See all | WiFi | Public Facilities2Air ConditioningToilet | Air Conditioning | Toilet | Cleaning Services1Cleaning Products | Food & Drinks1Refrigerator | Hotel Policy1Non Smoking,Nearby Destinations | NearestCulinary spotsShopping areasPublic transportationsAttractionsLandmarksHospitals | Nearest | Culinary spots | Shopping areas | Public transportations | Attractions | Landmarks | Hospitals | Universitas Ngurah RaiOther landmarks (1.2km),Queen in Superior Room,"20m² | 1 room option | Starts from | IDR 267,579 | 1/6 | Queen | Non-smoking Room | No breakfast | 2 Adults | -45%",20m² | Private Bathroom | Shower | Free Toiletries | TV,No breakfast,Refund & reschedule not allowed,None,267579,North Denpasar,0,12.49717386602761,3.6888794541139363,20.0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,North Denpasar
Cove The Cave,Guest House,3,"Kec, Jl. Antasura Gg. Batu Sari No.3A, Peguyangan Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali",North Denpasar,-8.62119,115.224623,Bali,4.7,39,WiFiAC | Air ConditioningToilet | Cleaning Products | Refrigerator | Non Smoking | Shower | TelevisionFree WiFi | See all | WiFi | Public Facilities2Air ConditioningToilet | Air Conditioning | Toilet | Cleaning Services1Cleaning Products | Food & Drinks1Refrigerator | Hotel Policy1Non Smoking,Nearby Destinations | NearestCulinary spotsShopping areasPublic transportationsAttractionsLandmarksHospitals | Nearest | Culinary spots | Shopping areas | Public transportations | Attractions | Landmarks | Hospitals | Universitas Ngurah RaiOther landmarks (1.2km),Queen in Studio,"20m² | 2 room options | Starts from | IDR 302,447 | 1/8 | Queen | Non-smoking Room | No breakfast | 1 Adult | -32%",20m² | Private Bathroom | Shower | Free Toiletries,No breakfast,Refund & reschedule not allowed,None,302447,North Denpasar,0,12.619664640849946,3.6888794541139363,20.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,North Denpasar
Cove The Cave,Guest House,3,"Kec, Jl. Antasura Gg. Batu Sari No.3A, Peguyangan Kangin, Kec. Denpasar Utara, Kota Denpasar, Bali",North Denpasar,-8.62119,115.224623,Bali,4.7,39,WiFiAC | Air ConditioningToilet | Cleaning Products | Refrigerator | Non Smoking | Shower | TelevisionFree WiFi | See all | WiFi | Public Facilities2Air ConditioningToilet | Air Conditioning | Toilet | Cleaning Services1Cleaning Products | Food & Drinks1Refrigerator | Hotel Policy1Non Smoking,Nearby Destinations | NearestCulinary spotsShopping areasPublic transportationsAttractionsLandmarksHospitals | Nearest | Culinary spots | Shopping areas | Public transportations | Attractions | Landmarks | Hospitals | Universitas Ngurah RaiOther landmarks (1.2km),Queen in Studio,"20m² | 2 room options | Starts from | IDR 302,447 | 1/8 | Queen | Non-smoking Room | No breakfast | 1 Adult | -32%",20m² | Private Bathroom | Shower | Free Toiletries,No breakfast,Refund & reschedule not allowed,None,344946,North Denpasar,0,12.75114606102384,3.6888794541139363,20.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,North Denpasar
Tanaka Canggu Guesthouse,Guest House,3,"Gg. Hennessey, Jl. Raya Semat Br. Tegal Gundul, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali",Canggu,-8.656482,115.140273,Bali,4.7,42,Swimming PoolWiFiAC24-hour Front DeskFree Parking | No Pets Allowed | 24-hour Front Desk | Refrigerator | Non Smoking | Cable TVSmart TVShowerKettlePatio or terrace | TelevisionFree WiFi | See all | Swimming Pool | WiFi | Free Parking | Air Conditioning | Parkir Tersedia | Public WiFi | Courtyard,Nearby Destinations | NearestCulinary spotsShopping areasAttractionsLandmarks | Nearest | Culinary spots | Shopping areas | Attractions | Landmarks | Ice Bliss CreamRestaurants (158m) | Bali Equestrian CentreOther landmarks (639m) | Atlas Beach FestOther attractions (763m),Double in Deluxe Room with City View,"36m² | 2 room options | Starts from | IDR 367,390 | 1/7 | Double | Non-smoking Room | No breakfast | 1 Adult | -69% | -36%",36m² | Private Bathroom | Shower | Free Toiletries | Electric Kettle | Smart TV | TV,No breakfast,Refund & reschedule not allowed,None,367390,Canggu,0,12.814181955001496,3.7612001156935624,36.0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,Canggu
Tanaka Canggu Guesthouse,Guest House,3,"Gg. Hennessey, Jl. Raya Semat Br. Tegal Gundul, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali",Canggu,-8.656482,115.140273,Bali,4.7,42,Swimming PoolWiFiAC24-hour Front DeskFree Parking | No Pets Allowed | 24-hour Front Desk | Refrigerator | Non Smoking | Cable TVSmart TVShowerKettlePatio or terrace | TelevisionFree WiFi | See all | Swimming Pool | WiFi | Free Parking | Air Conditioning | Parkir Tersedia | Public WiFi | Courtyard,Nearby Destinations | NearestCulinary spotsShopping areasAttractionsLandmarks | Nearest | Culinary spots | Shopping areas | Attractions | Landmarks | Ice Bliss CreamRestaurants (158m) | Bali Equestrian CentreOther landmarks (639m) | Atlas Beach FestOther attractions (763m),Double in Deluxe Room with City View,"32m² | 1 room option | Starts from | IDR 577,614 | 1/8 | Double | Non-smoking Room | No breakfast | 1 Adult | Free self parking | -56%",32m² | Private Bathroom | Shower | Free Toiletries | Electric Kettle | Smart TV | TV | Hair Dryer,No breakfast,Refund & reschedule not allowed,Free self parking,577614,Canggu,0,13.266662835752637,3.7612001156935624,32.0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,Canggu
Kencana Ubud Cottage,Guest House,3,"Jalan Raya Pengosekan Gang Sebelah Selatan Indomaret 80571, Ubud, Gianyar, Bali 80571, Indonesia",Ubud,-8.525314,115.264306,Bali,4.4,82,No Pets Allowed | Massage | Wheelchair Accessible | Non Smoking | ShowerPatio or terrace | Airport Transfer (Surcharge) | tiket Green | TelevisionFree WiFi | See all | Swimming Pool | WiFi | Airport Transfer | 24-hour Front Desk | Free Parking | Air Conditioning,Nearby Destinations | NearestCulinary spotsShopping areasAttractionsLandmarks | Nearest | Culinary spots | Shopping areas | Attractions | Landmarks | Bali Alaska AdventureOutdoor attractions (237m) | FamousRestaurants (246m) | Fantasea Bali Shell MuseumPlaces of worship (285m),Double in Superior Room with Garden View,"24m² | 2 room options | Starts from | IDR 161,257 | 1/9 | Double | Non-smoking Room | No breakfast | 2 Adults | -41% | Breakfast (2 pax)",24m² | Private Bathroom | Shower | Free Toiletries | TV,No breakfast,Refund & reschedule not allowed,None,161257,Ubud,0,11.990760845830465,4.418840607796598,24.0,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,Ubud
Kencana Ubud Cottage,Guest House,3,"Jalan Raya Pengosekan Gang Sebelah Selatan Indomaret 80571, Ubud, Gianyar, Bali 80571, Indonesia",Ubud,-8.525314,115.264306,Bali,4.4,82,No Pets Allowed | Massage | Wheelchair Accessible | Non Smoking | ShowerPatio or terrace | Airport Transfer (Surcharge) | tiket Green | TelevisionFree WiFi | See all | Swimming Pool | WiFi | Airport Transfer | 24-hour Front Desk | Free Parking | Air Conditioning,Nearby Destinations | NearestCulinary spotsShopping areasAttractionsLandmarks | Nearest | Culinary spots | Shopping areas | Attractions | Landmarks | Bali Alaska AdventureOutdoor attractions (237m) | FamousRestaurants (246m) | Fantasea Bali Shell MuseumPlaces of worship (285m),Double in Superior Room with Garden View,"24m² | 2 room options | Starts from | IDR 161,257 | 1/9 | Double | Non-smoking Room | No breakfast | 2 Adults | -41% | Breakfast (2 pax)",24m² | Private Bathroom | Shower | Free Toiletries | TV,Breakfast (2 pax),Refund & reschedule not allowed,None,260992,Ubud,0,12.472248866021799,4.418840607796598,24.0,1,1,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,Ubud
