name,price,location,ac,air_panas,kamar_mandi_dalam,parkir,dispenser,kulkas,kursi,lemari,meja,parkir_mobil,ruang_tamu,shower,tv,wastafel,wifi,cctv,swimming_pool,kasur_bed_springbed,amenity_count,premium_count,amenity_density,has_private_bath_ac,luxury_score,is_luxury,location_tier,location_enc
Kost Lullaby Symphony Delux Balkon Abiansemal Badung,2400000,abiansemal,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,8,5,0.4444444444444444,1,3,0,2,0
Kost Gwk Stay Uluwatu Kuta Selatan Badung (Tipe B),2750000,badung,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,12,7,0.6666666666666666,1,5,1,2,1
Kost Purnama House,2000000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
KOST NYAMAN & PRIVACY,1750000,badung,1,1,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,10,6,0.5555555555555556,1,4,1,2,1
Kost Senja Kuta Badung (Eksklusif),2450000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
Kost MS Guesthouse UNUD 1 Standart Kuta Selatan Badung,2700000,badung,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.05555555555555555,0,0,0,2,1
"Sewa Kost Rumah Dino (Harian, Mingguan, Bulanan, Tahunan)",1500000,badung,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.1111111111111111,0,0,0,2,1
Disewakan Rumah kost harian /bulanan Kalimas Residence (Promo),2400000,badung,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,1,12,7,0.6666666666666666,1,5,1,2,1
Terima Kost Di JIMBARAN. harian/mingguan/bulanan (FULL FURNI (Tipe B),1450000,badung,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,9,7,0.5,1,5,1,2,1
Kost INCLUDE LISTRIK Nakula,1800000,badung,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,8,6,0.4444444444444444,1,4,1,2,1
Kost Grand Kesambi Exclusive,3500000,badung,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,8,6,0.4444444444444444,1,4,1,2,1
"oom for rent Daily, Monthly, Yearly in Kuta",2300000,badung,1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,11,6,0.6111111111111112,1,4,1,2,1
KoolKost near Siloam Hospital,1600000,badung,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,7,5,0.3888888888888889,1,3,0,2,1
Kost Bali Tulip Dalung Badung,2300000,badung,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,13,7,0.7222222222222222,1,5,1,2,1
Kost murah nyaman (Tipe B),2750000,badung,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,7,4,0.3888888888888889,1,2,0,2,1
Kost Puspa Ayu 10X Kuta - Dekat Discovery shopping Mall,2500000,badung,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,14,7,0.7777777777777778,1,5,1,2,1
Kos Nyaman Jimbaran Area,1000000,badung,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,7,4,0.3888888888888889,1,2,0,2,1
Kos Murah di Kuta Bali Termasuk Listrik Free Wifi,1000000,badung,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,10,5,0.5555555555555556,1,3,0,2,1
Kost Pondok Adnyana Kuta Badung,4000000,badung,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,1,12,7,0.6666666666666666,1,5,1,2,1
Kos elite airport tuban kuta bali,3000000,badung,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,12,6,0.6666666666666666,1,4,1,2,1
disewakan kamar,2600000,badung,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,9,6,0.5,1,4,1,2,1
Kost The W Guesthouse Tipe Deluxe 1 Kuta Selatan Badung,2350000,badung,1,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,0,1,11,5,0.6111111111111112,1,3,0,2,1
"kos ac harian,mingguan,bulanan di kuta bali",2500000,badung,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,4,0.2777777777777778,1,3,0,2,1
Mezzanine apartment at Kerobokan,6000000,badung,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,7,6,0.3888888888888889,1,4,1,2,1
Kos kosan lengkap (Eksklusif),3750000,badung,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,8,8,0.4444444444444444,1,6,1,2,1
Rumah Kos PANAMA,1000000,badung,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,6,3,0.3333333333333333,0,1,0,2,1
terima kost unggasan dekat gwk,900000,badung,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0.16666666666666666,0,0,0,2,1
New Kost Exclusive at Jimbaran,1500000,badung,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,8,4,0.4444444444444444,1,2,0,2,1
Kost Pandawa Dua Nusa Dua,2000000,badung,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,8,2,0.4444444444444444,0,0,0,2,1
OYO 618 Top Homestay,2200000,badung,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,11,6,0.6111111111111112,1,4,1,2,1
Kost Melody 1 Tipe A Kuta Selatan Badung,2900000,badung,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,13,6,0.7222222222222222,1,4,1,2,1
Kost Pondok Cinta Tipe A Kuta Selatan Badung,2100000,badung,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,1,10,5,0.5555555555555556,1,3,0,2,1
Kost di Jimbaran (Taman Griya Residence),2000000,badung,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,11,6,0.6111111111111112,1,4,1,2,1
Kuta Heritage Residence,3800000,badung,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,10,7,0.5555555555555556,1,5,1,2,1
Kost MD Living Jimbaran Tipe Standart Kuta Selatan Badung,2600000,badung,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,7,4,0.3888888888888889,1,2,0,2,1
Kost D Bali Kuta Selatan Badung (Eksklusif),2400000,badung,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,13,7,0.7222222222222222,1,5,1,2,1
Kost Dalung Mas 1 Kuta Utara Badung,2300000,badung,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,8,3,0.4444444444444444,1,1,0,2,1
Kos lengkap di kunti seminyak bali,2350000,badung,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,4,0.2777777777777778,1,3,0,2,1
APARTEMEN KAWAII,3700000,badung,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,1,9,5,0.5,1,3,0,2,1
Kost fasilitas lengkap di Jimbaran bali (lokasi strategis),3000000,badung,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,11,7,0.6111111111111112,1,5,1,2,1
Kost Lengkap Sunset Road Seminyak (Bangunan Baru),1800000,badung,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,13,7,0.7222222222222222,1,5,1,2,1
Disewakan Kost di Bali dengan fasilitas lengkap dan nyaman,3800000,badung,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,1,1,13,8,0.7222222222222222,1,6,1,2,1
Kost Majapahit Kuta Badung (Eksklusif),3500000,badung,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,10,6,0.5555555555555556,1,4,1,2,1
